"STOCK"	"BID"	"ASK"	"LTP"	"VOLUME"	"TRENDVALUE"	"TIME"
"NQ"	6972.75	6973.25	6972.75	117858	-1	01-NOV-18 08.11.51.319 AM
"NQ"	6974	6974.5	6974.25	117948	0	01-NOV-18 08.12.12.761 AM
"NQ"	6975	6975.25	6975.25	118039	1	01-NOV-18 08.12.42.728 AM
"NQ"	6973.5	6974	6973.75	118103	0	01-NOV-18 08.13.12.700 AM
"NQ"	6973.75	6974.25	6974.25	118165	1	01-NOV-18 08.13.42.768 AM
"NQ"	6975.5	6976	6975.75	118294	0	01-NOV-18 08.14.12.740 AM
"NQ"	6974.25	6974.75	6974.5	118386	0	01-NOV-18 08.14.42.738 AM
"NQ"	6974	6974.5	6974.25	118428	0	01-NOV-18 08.15.12.680 AM
"NQ"	6977.75	6978.25	6977.75	118561	-1	01-NOV-18 08.15.43.091 AM
"NQ"	6979	6979.5	6979.5	118701	1	01-NOV-18 08.16.12.737 AM
"NQ"	6979.25	6979.75	6979.5	118853	0	01-NOV-18 08.16.42.708 AM
"NQ"	6981	6981.5	6981	119061	-1	01-NOV-18 08.17.12.781 AM
"NQ"	6978.25	6979	6978.5	119195	-1	01-NOV-18 08.17.42.725 AM
"NQ"	6978.5	6979	6979	119296	1	01-NOV-18 08.18.12.694 AM
"NQ"	6978	6978.5	6978.25	119385	0	01-NOV-18 08.18.42.774 AM
"NQ"	6981.25	6981.75	6981	119477	-1	01-NOV-18 08.19.13.749 AM
"NQ"	6980.5	6981	6980.75	119542	0	01-NOV-18 08.19.43.719 AM
"NQ"	6981	6981.5	6981.25	119643	0	01-NOV-18 08.20.13.794 AM
"NQ"	6980.5	6981	6980.25	119694	-1	01-NOV-18 08.20.43.755 AM
"NQ"	6981.25	6981.75	6981.75	119871	1	01-NOV-18 08.21.13.733 AM
"NQ"	6981	6981.5	6981	119982	-1	01-NOV-18 08.21.43.709 AM
"NQ"	6982.75	6983.25	6982.75	120246	-1	01-NOV-18 08.22.13.782 AM
"NQ"	6982.75	6983.25	6983.25	120352	1	01-NOV-18 08.22.43.755 AM
"NQ"	6985.25	6985.75	6985.5	120612	0	01-NOV-18 08.23.13.731 AM
"NQ"	6985.75	6986.25	6986.25	120706	1	01-NOV-18 08.23.43.707 AM
"NQ"	6985.75	6986.25	6986	120808	0	01-NOV-18 08.24.13.789 AM
"NQ"	6987.5	6987.75	6987.5	120964	-1	01-NOV-18 08.24.43.760 AM
"NQ"	6986.5	6987	6986.5	121055	-1	01-NOV-18 08.25.13.735 AM
"NQ"	6986.5	6987	6987	121302	1	01-NOV-18 08.25.43.708 AM
"NQ"	6986.5	6987	6986.75	121427	0	01-NOV-18 08.26.13.783 AM
"NQ"	6985	6985.5	6985.25	121558	0	01-NOV-18 08.26.43.759 AM
"NQ"	6983.75	6984.5	6984	121676	-1	01-NOV-18 08.27.13.729 AM
"NQ"	6983.5	6984	6983.5	121777	-1	01-NOV-18 08.27.43.742 AM
"NQ"	6983.75	6984.25	6984	121981	0	01-NOV-18 08.28.13.720 AM
"NQ"	6983.25	6983.75	6983.25	122248	-1	01-NOV-18 08.28.43.705 AM
"NQ"	6983.5	6984	6983.75	122353	0	01-NOV-18 08.29.13.785 AM
"NQ"	6984.5	6985	6985	122863	1	01-NOV-18 08.29.43.732 AM
"NQ"	6985	6985.25	6985.25	123031	1	01-NOV-18 08.30.13.711 AM
"NQ"	6984.75	6985.25	6985	123079	0	01-NOV-18 08.30.43.718 AM
"NQ"	6983	6983.5	6983.25	123242	0	01-NOV-18 08.31.13.727 AM
"NQ"	6983.25	6983.5	6983.5	123403	1	01-NOV-18 08.31.43.735 AM
"NQ"	6985.25	6985.75	6985.5	123525	0	01-NOV-18 08.32.13.703 AM
"NQ"	6984.25	6984.75	6984.5	123597	0	01-NOV-18 08.32.43.706 AM
"NQ"	6984.75	6985.25	6985.25	123654	1	01-NOV-18 08.33.13.708 AM
